iter	Passed	Remaining
0	59	59384
1	62	31412
2	65	21894
3	68	17054
4	70	14109
5	73	12191
6	76	10800
7	78	9730
8	80	8889
9	83	8228
10	85	7686
11	87	7227
12	90	6856
13	92	6537
14	95	6245
15	97	5996
16	100	5790
17	102	5591
18	105	5424
19	107	5279
20	110	5140
21	112	5017
22	115	4907
23	118	4824
24	121	4724
25	123	4631
26	126	4559
27	130	4529
28	133	4476
29	137	4429
30	141	4410
31	143	4346
32	146	4284
33	149	4257
34	152	4203
35	155	4154
36	157	4108
37	160	4056
38	162	4007
39	165	3966
40	167	3928
41	170	3889
42	173	3856
43	175	3816
44	177	3776
45	180	3738
46	182	3707
47	185	3676
48	189	3670
49	191	3639
50	193	3609
51	196	3588
52	199	3567
53	202	3541
54	205	3537
55	209	3530
56	213	3525
57	217	3529
58	221	3528
59	224	3517
60	227	3505
61	230	3489
62	233	3467
63	235	3449
64	238	3431
65	241	3416
66	244	3407
67	247	3396
68	250	3377
69	252	3358
70	255	3340
71	258	3327
72	261	3321
73	264	3306
74	267	3299
75	270	3283
76	272	3271
77	275	3257
78	278	3242
79	280	3228
80	283	3213
81	285	3195
82	288	3187
83	291	3173
84	293	3159
85	295	3145
86	298	3136
87	301	3121
88	304	3113
89	306	3100
90	309	3088
91	311	3077
92	314	3067
93	317	3059
94	319	3048
95	322	3039
96	325	3028
97	328	3019
98	331	3013
99	334	3006
100	336	2996
101	339	2985
102	341	2974
103	343	2963
104	346	2953
105	348	2942
106	351	2929
107	353	2919
108	355	2909
109	358	2900
110	360	2890
111	363	2884
112	366	2877
113	369	2873
114	372	2863
115	374	2853
116	376	2842
117	380	2840
118	383	2836
119	386	2836
120	389	2832
121	392	2825
122	395	2818
123	397	2810
124	400	2803
125	403	2796
126	405	2788
127	409	2788
128	412	2782
129	414	2776
130	417	2770
131	420	2763
132	422	2755
133	425	2748
134	428	2743
135	431	2739
136	433	2733
137	436	2728
138	439	2720
139	442	2715
140	444	2710
141	447	2706
142	450	2702
143	453	2694
144	455	2686
145	458	2683
146	461	2677
147	463	2670
148	467	2668
149	470	2664
150	472	2659
151	476	2658
152	479	2656
153	486	2670
154	491	2678
155	494	2673
156	496	2668
157	500	2665
158	503	2660
159	506	2657
160	509	2655
161	512	2651
162	515	2646
163	518	2641
164	521	2638
165	524	2636
166	527	2631
167	531	2631
168	534	2625
169	536	2620
170	540	2620
171	543	2615
172	546	2611
173	549	2608
174	552	2604
175	556	2604
176	559	2600
177	562	2596
178	567	2600
179	570	2597
180	573	2593
181	575	2587
182	578	2582
183	581	2578
184	584	2572
185	586	2568
186	590	2566
187	593	2561
188	596	2558
189	599	2555
190	602	2553
191	606	2551
192	609	2547
193	612	2542
194	615	2541
195	618	2539
196	622	2536
197	625	2532
198	627	2527
199	630	2523
200	634	2520
201	636	2515
202	640	2513
203	643	2509
204	646	2505
205	648	2499
206	650	2493
207	653	2486
208	656	2483
209	658	2478
210	661	2472
211	663	2467
212	666	2461
213	668	2454
214	670	2449
215	673	2444
216	675	2438
217	678	2435
218	681	2430
219	684	2425
220	687	2421
221	689	2416
222	691	2409
223	694	2405
224	697	2402
225	700	2397
226	702	2391
227	705	2389
228	708	2386
229	712	2386
230	716	2385
231	720	2384
232	723	2381
233	726	2378
234	729	2375
235	732	2371
236	735	2367
237	738	2364
238	742	2363
239	746	2365
240	749	2361
241	753	2360
242	756	2356
243	758	2350
244	762	2348
245	765	2344
246	768	2343
247	771	2339
248	773	2333
249	777	2331
250	779	2325
251	781	2320
252	784	2316
253	787	2311
254	789	2306
255	792	2302
256	794	2298
257	797	2293
258	800	2289
259	803	2285
260	805	2281
261	809	2279
262	813	2279
263	816	2276
264	819	2273
265	822	2269
266	825	2266
267	828	2261
268	830	2258
269	833	2254
270	836	2250
271	839	2245
272	841	2240
273	844	2237
274	846	2232
275	849	2227
276	852	2225
277	855	2221
278	857	2217
279	860	2213
280	863	2208
281	866	2205
282	868	2201
283	871	2197
284	874	2194
285	877	2190
286	879	2185
287	884	2185
288	886	2182
289	890	2179
290	893	2176
291	896	2172
292	899	2169
293	902	2166
294	905	2163
295	908	2161
296	911	2158
297	915	2155
298	917	2151
299	920	2148
300	923	2145
301	926	2141
302	930	2139
303	933	2137
304	936	2133
305	939	2131
306	942	2127
307	945	2123
308	948	2120
309	950	2116
310	953	2112
311	956	2109
312	959	2106
313	962	2102
314	965	2099
315	967	2094
316	970	2091
317	973	2088
318	976	2083
319	978	2079
320	981	2075
321	983	2071
322	987	2070
323	993	2072
324	998	2074
325	1002	2072
326	1005	2069
327	1008	2066
328	1011	2062
329	1014	2058
330	1016	2055
331	1019	2051
332	1022	2048
333	1025	2044
334	1027	2040
335	1030	2035
336	1033	2033
337	1036	2029
338	1039	2027
339	1042	2022
340	1045	2020
341	1048	2017
342	1051	2014
343	1054	2011
344	1057	2007
345	1060	2004
346	1063	2001
347	1066	1997
348	1069	1994
349	1072	1991
350	1074	1987
351	1077	1984
352	1080	1979
353	1082	1975
354	1085	1971
355	1087	1967
356	1090	1963
357	1092	1959
358	1095	1955
359	1097	1951
360	1100	1947
361	1102	1943
362	1106	1941
363	1108	1937
364	1111	1934
365	1114	1931
366	1118	1929
367	1123	1929
368	1130	1932
369	1133	1930
370	1136	1927
371	1139	1923
372	1142	1920
373	1145	1917
374	1147	1913
375	1151	1910
376	1154	1908
377	1158	1907
378	1161	1903
379	1164	1900
380	1167	1896
381	1172	1896
382	1176	1894
383	1179	1891
384	1182	1888
385	1185	1885
386	1188	1881
387	1190	1877
388	1193	1873
389	1195	1870
390	1198	1866
391	1202	1864
392	1205	1861
393	1207	1857
394	1210	1854
395	1212	1849
396	1215	1845
397	1217	1841
